440.807	250.000	250.000	249.924	249.860	250.000	249.908	249.836
475.035	250.000	250.000	249.926	249.862	250.000	249.911	249.841
480.893	250.000	250.000	249.926	249.862	250.000	249.912	249.842
492.608	250.000	250.000	249.926	249.862	250.000	249.913	249.843
495.685	250.000	250.000	249.926	249.862	250.000	249.913	249.844
497.956	250.000	250.000	249.926	249.862	250.000	249.913	249.844
499.279	250.000	250.000	249.926	249.863	250.000	249.913	249.844
500.161	249.662	249.662	249.860	249.839	249.662	249.886	249.839
500.344	249.277	249.277	249.824	249.829	249.277	249.874	249.838
500.587	248.767	248.767	249.742	249.808	248.767	249.849	249.834
500.903	248.104	248.104	249.572	249.755	248.104	249.785	249.826
501.432	246.993	246.993	249.166	249.578	246.993	249.587	249.790
502.111	245.567	245.567	248.492	249.184	245.567	249.182	249.676
502.978	243.745	243.745	247.453	248.449	243.745	248.477	249.384
504.016	241.567	241.567	246.018	247.307	241.567	247.428	248.813
505.186	239.109	239.109	244.217	245.765	239.109	246.041	247.907
506.504	236.342	236.342	242.027	243.803	236.342	244.280	246.614
507.999	233.202	233.202	239.397	241.374	233.202	242.088	244.875
509.713	229.603	229.603	236.254	238.412	229.603	239.387	242.612
511.695	225.440	225.440	232.506	234.828	225.440	236.079	239.731
513.997	220.606	220.606	228.054	230.528	220.606	232.063	236.131
516.662	215.011	215.011	222.812	225.428	215.011	227.248	231.718
519.726	208.575	208.575	216.708	219.457	208.575	221.558	226.417
523.226	201.226	201.226	209.675	212.549	201.226	214.922	220.157
527.199	192.883	192.883	201.637	204.630	192.883	207.263	212.860
531.673	183.486	183.486	192.530	195.637	183.486	198.520	204.467
536.659	173.017	173.017	182.333	185.548	173.017	188.673	194.952
542.1	161.589	161.589	171.163	174.480	161.589	177.836	184.422
547.878	149.456	149.456	159.277	162.690	149.456	166.254	173.124
554.015	136.569	136.569	146.618	150.121	136.569	153.869	161.009
560.612	122.714	122.714	132.969	136.556	122.714	140.478	147.868
567.698	107.835	107.835	118.279	121.947	107.835	126.038	133.657
575.049	92.396	92.396	103.037	106.773	92.396	111.000	118.828
582.62	76.497	76.497	87.345	91.153	76.497	95.477	103.494
590.487	59.977	59.977	71.007	74.893	59.977	79.332	87.521
597.908	44.394	44.394	55.578	59.523	44.394	64.086	72.429
598.901	42.307	42.307	53.512	57.464	42.307	62.043	70.406
599.528	40.992	40.992	52.210	56.167	40.992	60.754	69.131
599.843	40.330	40.330	51.555	55.513	40.330	60.105	68.489
600.037	40.000	40.000	51.154	55.111	40.000	59.706	68.093
600.073	40.000	40.000	51.079	55.037	40.000	59.632	68.020
600.121	40.000	40.000	50.982	54.938	40.000	59.534	67.923
600.183	40.000	40.000	50.856	54.810	40.000	59.406	67.796
600.307	40.000	40.000	50.614	54.553	40.000	59.152	67.543
